"drugbank_id","entrez_id","category","subcategory","ID","Description","FoldEnrichment","pvalue","p.adjust"
"DB00608","7124","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection",1.79799139167862,5.28304481115736e-08,1.38384233486286e-07
"DB00608","7124","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis",1.84376674366925,7.46216636598667e-08,1.92589734886862e-07
"DB00608","7124","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway",2.13468089938678,8.01611770032327e-08,2.05376446190764e-07
"DB00608","7124","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway",2.17252985150357,1.67801306816955e-07,4.11875934914343e-07
"DB00608","7124","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease",1.68809493717197,2.86647817772215e-07,6.7982016241924e-07
"DB00608","7124","Cellular Processes","Cell growth and death","hsa04210","Apoptosis",1.89056897171968,8.75063195767825e-07,1.95635147588858e-06
"DB00608","7124","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis",1.515932812608,9.69655064214789e-07,2.15410713632526e-06
"DB00608","7124","Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway",2.2769929593459,1.06257056194173e-06,2.33101417025967e-06
"DB00608","7124","Human Diseases","Infectious disease: viral","hsa05164","Influenza A",1.75627889024693,1.92552286683598e-06,4.07143690517728e-06
"DB00608","7124","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis",2.6923903235509,4.73204866655186e-06,9.60086174543181e-06
"DB00608","7124","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway",1.88354197004716,5.27017358620459e-06,1.05889490179257e-05
